id,tema,regla,implementacion,anti_patron,keywords
reduced-motion,motion,"Las animaciones se apagan o reducen bajo prefers-reduced-motion, incluidos autoplay y parallax.","@media (prefers-reduced-motion: reduce) { *, ::before, ::after { animation-duration: 0.01ms !important; transition-duration: 0.01ms !important; scroll-behavior: auto !important } }; en JS, const reduce = matchMedia('(prefers-reduced-motion: reduce)').matches antes de iniciar animaciones.","Ignorar la preferencia; carrusel automatico sin pausa.","reduced motion prefers-reduced-motion animacion autoplay parallax pausar"
layout-contenedor,layout,"El layout usa contenedores con max-width y padding lateral fluido, y las grillas se definen por contenido con auto-fit y minmax.",".container { max-width: 72rem; margin-inline: auto; padding-inline: clamp(1rem, 4vw, 2rem) } .grid { display: grid; grid-template-columns: repeat(auto-fit, minmax(min(100%, 18rem), 1fr)); gap: var(--space-4) }.","width: 1200px fijo; media queries por modelo de dispositivo; scroll horizontal a 320px.","layout contenedor max-width grid auto-fit minmax responsive columnas"
tabla-responsive,datos,"Las tablas mantienen th con scope, numeros alineados a la derecha con cifras tabulares y en movil se apilan o desplazan dentro de un contenedor.","<th scope=\"col\">; td.num { text-align: end; font-variant-numeric: tabular-nums }; .table-wrap { overflow-x: auto } con thead sticky; alternativa apilada con data-label en td y ::before en menos de 600px.","Tabla encogida al ancho del telefono; div anidados imitando una tabla.","tabla responsive th scope tabular-nums sticky overflow apilar movil"
formulario-campos,formularios,"Cada campo tiene label asociado, autocomplete e inputmode, error en texto ligado con aria-describedby y aria-invalid.","<label for=\"email\">Correo</label><input id=\"email\" type=\"email\" autocomplete=\"email\" inputmode=\"email\" aria-describedby=\"email-error\" aria-invalid=\"true\"><p id=\"email-error\">Falta el arroba</p>; al enviar, focus() en el primer campo invalido.","placeholder como etiqueta; error solo en color; novalidate sin validacion propia.","formulario label input autocomplete inputmode aria-describedby aria-invalid error"
dialogo-nativo,estados,"Los dialogos usan el elemento dialog con showModal, que gestiona foco, Escape y fondo; el boton de confirmar nombra la accion.","<dialog><form method=\"dialog\"><h2>Eliminar 3 notas</h2><button value=\"cancel\">Cancelar</button><button value=\"confirm\">Eliminar 3 notas</button></form></dialog>; dialog.showModal(); devolver el foco al disparador al cerrar.","div con position fixed y z-index como modal; sin trampa de foco; boton Aceptar.","dialogo modal dialog showmodal foco escape confirmar destructivo"
estados-vista,estados,"Cada vista de datos tiene marcado propio para loading, empty y error, con accion de reintento y espacio reservado.","Skeleton con las mismas dimensiones (aria-busy=\"true\" en el contenedor); estado vacio con titulo, explicacion y boton primario; error con mensaje legible y boton Reintentar.","Spinner centrado como unico estado; pantalla en blanco; mensaje de error del servidor tal cual.","estado carga vacio error reintentar skeleton aria-busy vista"
navegacion-principal,navegacion,"La navegacion principal es un nav con lista de enlaces, el actual con aria-current, y en movil se convierte en barra inferior o menu accesible.","<nav aria-label=\"Principal\"><ul><li><a href=\"/\" aria-current=\"page\">Inicio</a></li></ul></nav>; menu movil con button aria-expanded y el panel en el DOM justo despues.","div con onClick como enlaces; hamburguesa sin aria-expanded; enlace activo solo por color.","navegacion nav aria-current enlace menu movil aria-expanded barra"
scroll-revelado,motion,"Los revelados al hacer scroll usan IntersectionObserver, se disparan una vez y no ocultan contenido si JS falla.","Contenido visible por defecto; la clase js-ready activa el estado inicial oculto; IntersectionObserver con threshold 0.2 anade .visible y hace unobserve.","Contenido con opacity 0 en CSS sin JS; animar en cada entrada y salida.","scroll revelar intersectionobserver landing seccion progresivo"
react-listas,rendimiento,"En React, listas largas virtualizan y cada item tiene key estable; los componentes de fila se memorizan si reciben props estables.","key={item.id}; virtualizacion para mas de 100 filas; React.memo en la fila con callbacks envueltos en useCallback; estado derivado con useMemo solo si es costoso.","key={index}; renderizar 2000 filas de golpe; useEffect para sincronizar estado derivado.","react lista key virtualizacion memo usecallback rendimiento filas"
react-estado-formulario,formularios,"En React los formularios usan campos controlados o una libreria de formularios, validan al perder foco y muestran el error junto al campo.","onBlur valida el campo; el error se renderiza en un p con id enlazado por aria-describedby; disabled en el boton de envio mientras isSubmitting.","Validar en cada tecla desde el primer caracter; alert() para errores.","react formulario controlado validacion onblur error submit"
seleccion-caret,tokens,"La seleccion de texto y el caret usan el color del sistema, no el azul del navegador.","::selection { background: color-mix(in srgb, var(--color-primary) 25%, transparent); color: var(--color-text) } input, textarea { caret-color: var(--color-primary) }.","Seleccion azul del sistema sobre una paleta calida.","seleccion selection caret color texto tematizar browser"
scrollbar-tema,tokens,"La scrollbar sigue el tema, sobre todo en modo oscuro, sin ocultarla.","html { scrollbar-color: var(--color-text-muted) var(--color-surface); scrollbar-width: thin } y en WebKit ::-webkit-scrollbar-thumb con el mismo token.","Scrollbar gris claro por defecto sobre fondo oscuro; overflow hidden para esconderla.","scrollbar tema oscuro color browser superficie"
enlaces-subrayado,tipografia,"Los enlaces en texto se subrayan con offset y grosor acordes al tamano, y el color no es el unico indicador.","a { text-decoration-thickness: 1px; text-underline-offset: 0.15em; text-decoration-color: color-mix(in srgb, currentColor 50%, transparent) } a:hover { text-decoration-color: currentColor }.","Enlaces solo por color; subrayado pegado al texto que corta descendentes.","enlace subrayado offset thickness underline color indicador"
cifras-tabulares,datos,"Los numeros en tablas, precios y contadores usan cifras tabulares para alinearse y no saltar al cambiar.","td.num, .precio, .contador { font-variant-numeric: tabular-nums } (o clase tabular-nums en Tailwind).","Contador que baila al pasar de 9 a 10; columna de precios desalineada.","cifras tabulares numeros tabla precio contador alinear tabular-nums"
